id;root;rootN;family;modeNr;modeName;RMS;spelling;n1;n2;n3;n4;n5;n6;n7;n8;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;c1;c2;c3;c4;c5;c6;c7;c8
164;8;G;Modes of Harmonic Minor;7;Altered Diminished;9;b;8;9;11;12;2;4;5;;G;Ab;Bb;B;Db;Eb;E;;dim;min;dim;aug;min;maj;maj;
165;9;G#;Modes of Harmonic Minor;7;Altered Diminished;10;;9;10;12;1;3;5;6;;G#;A;B;C;D;E;F;;dim;min;dim;aug;min;maj;maj;
166;10;A;Modes of Harmonic Minor;7;Altered Diminished;11;b;10;11;1;2;4;6;7;;A;Bb;C;Db;Eb;F;Gb;;dim;min;dim;aug;min;maj;maj;
167;11;A#;Modes of Harmonic Minor;7;Altered Diminished;12;;11;12;2;3;5;7;8;;A#;B;C#;D;E;F#;G;;dim;min;dim;aug;min;maj;maj;
168;12;B;Modes of Harmonic Minor;7;Altered Diminished;1;b;12;1;3;4;6;8;9;;B;C;D;Eb;F;G;Ab;;dim;min;dim;aug;min;maj;maj;
169;1;C;Modes of Melodic Minor;1;Melodic Minor;4;b;1;3;4;6;8;10;12;;C;D;Eb;F;G;A;B;;min;min;aug;maj;maj;dim;dim;
170;2;C#;Modes of Melodic Minor;1;Melodic Minor;5;;2;4;5;7;9;11;1;;C#;D#;E;F#;G#;A#;C;;min;min;aug;maj;maj;dim;dim;
171;3;D;Modes of Melodic Minor;1;Melodic Minor;6;b;3;5;6;8;10;12;2;;D;E;F;G;A;B;Db;;min;min;aug;maj;maj;dim;dim;
172;4;D#;Modes of Melodic Minor;1;Melodic Minor;7;;4;6;7;9;11;1;3;;D#;F;F#;G#;A#;C;D;;min;min;aug;maj;maj;dim;dim;
173;5;E;Modes of Melodic Minor;1;Melodic Minor;8;;5;7;8;10;12;2;4;;E;F#;G;A;B;C#;D#;;min;min;aug;maj;maj;dim;dim;
174;6;F;Modes of Melodic Minor;1;Melodic Minor;9;b;6;8;9;11;1;3;5;;F;G;Ab;Bb;C;D;E;;min;min;aug;maj;maj;dim;dim;
175;7;F#;Modes of Melodic Minor;1;Melodic Minor;10;;7;9;10;12;2;4;6;;F#;G#;A;B;C#;D#;F;;min;min;aug;maj;maj;dim;dim;
176;8;G;Modes of Melodic Minor;1;Melodic Minor;11;b;8;10;11;1;3;5;7;;G;A;Bb;C;D;E;Gb;;min;min;aug;maj;maj;dim;dim;
177;9;G#;Modes of Melodic Minor;1;Melodic Minor;12;;9;11;12;2;4;6;8;;G#;A#;B;C#;D#;F;G;;min;min;aug;maj;maj;dim;dim;
178;10;A;Modes of Melodic Minor;1;Melodic Minor;1;b;10;12;1;3;5;7;9;;A;B;C;D;E;Gb;Ab;;min;min;aug;maj;maj;dim;dim;
179;11;Bb;Modes of Melodic Minor;1;Melodic Minor;2;b;11;1;2;4;6;8;10;;Bb;C;Db;Eb;F;G;A;;min;min;aug;maj;maj;dim;dim;
180;12;B;Modes of Melodic Minor;1;Melodic Minor;3;;12;2;3;5;7;9;11;;B;C#;D;E;F#;G#;A#;;min;min;aug;maj;maj;dim;dim;
181;1;C;Modes of Melodic Minor;2;Dorian b2;2;b;1;2;4;6;8;10;11;;C;Db;Eb;F;G;A;Bb;;min;aug;maj;maj;dim;dim;min;
182;2;C#;Modes of Melodic Minor;2;Dorian b2;3;;2;3;5;7;9;11;12;;C#;D;E;F#;G#;A#;B;;min;aug;maj;maj;dim;dim;min;
183;3;D;Modes of Melodic Minor;2;Dorian b2;4;b;3;4;6;8;10;12;1;;D;Eb;F;G;A;B;C;;min;aug;maj;maj;dim;dim;min;
184;4;D#;Modes of Melodic Minor;2;Dorian b2;5;;4;5;7;9;11;1;2;;D#;E;F#;G#;A#;C;C#;;min;aug;maj;maj;dim;dim;min;
185;5;E;Modes of Melodic Minor;2;Dorian b2;6;b;5;6;8;10;12;2;3;;E;F;G;A;B;Db;D;;min;aug;maj;maj;dim;dim;min;
186;6;F;Modes of Melodic Minor;2;Dorian b2;7;;6;7;9;11;1;3;4;;F;F#;G#;A#;C;D;D#;;min;aug;maj;maj;dim;dim;min;
187;7;F#;Modes of Melodic Minor;2;Dorian b2;8;;7;8;10;12;2;4;5;;F#;G;A;B;C#;D#;E;;min;aug;maj;maj;dim;dim;min;
188;8;G;Modes of Melodic Minor;2;Dorian b2;9;b;8;9;11;1;3;5;6;;G;Ab;Bb;C;D;E;F;;min;aug;maj;maj;dim;dim;min;
189;9;G#;Modes of Melodic Minor;2;Dorian b2;10;;9;10;12;2;4;6;7;;G#;A;B;C#;D#;F;F#;;min;aug;maj;maj;dim;dim;min;
190;10;A;Modes of Melodic Minor;2;Dorian b2;11;b;10;11;1;3;5;7;8;;A;Bb;C;D;E;Gb;G;;min;aug;maj;maj;dim;dim;min;
191;11;A#;Modes of Melodic Minor;2;Dorian b2;12;;11;12;2;4;6;8;9;;A#;B;C#;D#;F;G;G#;;min;aug;maj;maj;dim;dim;min;
192;12;B;Modes of Melodic Minor;2;Dorian b2;1;b;12;1;3;5;7;9;10;;B;C;D;E;Gb;Ab;A;;min;aug;maj;maj;dim;dim;min;
193;1;C;Modes of Melodic Minor;3;Lydian Augmented;8;;1;3;5;7;9;10;12;;C;D;E;F#;G#;A;B;;aug;maj;maj;dim;dim;min;min;
194;2;Db;Modes of Melodic Minor;3;Lydian Augmented;9;b;2;4;6;8;10;11;1;;Db;Eb;F;G;A;Bb;C;;aug;maj;maj;dim;dim;min;min;
195;3;D;Modes of Melodic Minor;3;Lydian Augmented;10;;3;5;7;9;11;12;2;;D;E;F#;G#;A#;B;C#;;aug;maj;maj;dim;dim;min;min;
196;4;Eb;Modes of Melodic Minor;3;Lydian Augmented;11;b;4;6;8;10;12;1;3;;Eb;F;G;A;B;C;D;;aug;maj;maj;dim;dim;min;min;
197;5;E;Modes of Melodic Minor;3;Lydian Augmented;12;;5;7;9;11;1;2;4;;E;F#;G#;A#;C;C#;D#;;aug;maj;maj;dim;dim;min;min;
198;6;F;Modes of Melodic Minor;3;Lydian Augmented;1;b;6;8;10;12;2;3;5;;F;G;A;B;Db;D;E;;aug;maj;maj;dim;dim;min;min;
199;7;Gb;Modes of Melodic Minor;3;Lydian Augmented;2;b;7;9;11;1;3;4;6;;Gb;Ab;Bb;C;D;Eb;F;;aug;maj;maj;dim;dim;min;min;
200;8;G;Modes of Melodic Minor;3;Lydian Augmented;3;;8;10;12;2;4;5;7;;G;A;B;C#;D#;E;F#;;aug;maj;maj;dim;dim;min;min;
201;9;Ab;Modes of Melodic Minor;3;Lydian Augmented;4;b;9;11;1;3;5;6;8;;Ab;Bb;C;D;E;F;G;;aug;maj;maj;dim;dim;min;min;
202;10;A;Modes of Melodic Minor;3;Lydian Augmented;5;;10;12;2;4;6;7;9;;A;B;C#;D#;F;F#;G#;;aug;maj;maj;dim;dim;min;min;
203;11;Bb;Modes of Melodic Minor;3;Lydian Augmented;6;b;11;1;3;5;7;8;10;;Bb;C;D;E;Gb;G;A;;aug;maj;maj;dim;dim;min;min;
204;12;B;Modes of Melodic Minor;3;Lydian Augmented;7;;12;2;4;6;8;9;11;;B;C#;D#;F;G;G#;A#;;aug;maj;maj;dim;dim;min;min;
205;1;C;Modes of Melodic Minor;4;Lydian Dominant;11;b;1;3;5;7;8;10;11;;C;D;E;Gb;G;A;Bb;;maj;maj;dim;dim;min;min;aug;
206;2;C#;Modes of Melodic Minor;4;Lydian Dominant;12;;2;4;6;8;9;11;12;;C#;D#;F;G;G#;A#;B;;maj;maj;dim;dim;min;min;aug;
207;3;D;Modes of Melodic Minor;4;Lydian Dominant;1;b;3;5;7;9;10;12;1;;D;E;Gb;Ab;A;B;C;;maj;maj;dim;dim;min;min;aug;
208;4;Eb;Modes of Melodic Minor;4;Lydian Dominant;2;b;4;6;8;10;11;1;2;;Eb;F;G;A;Bb;C;Db;;maj;maj;dim;dim;min;min;aug;
209;5;E;Modes of Melodic Minor;4;Lydian Dominant;3;;5;7;9;11;12;2;3;;E;F#;G#;A#;B;C#;D;;maj;maj;dim;dim;min;min;aug;
210;6;F;Modes of Melodic Minor;4;Lydian Dominant;4;b;6;8;10;12;1;3;4;;F;G;A;B;C;D;Eb;;maj;maj;dim;dim;min;min;aug;
211;7;F#;Modes of Melodic Minor;4;Lydian Dominant;5;;7;9;11;1;2;4;5;;F#;G#;A#;C;C#;D#;E;;maj;maj;dim;dim;min;min;aug;
212;8;G;Modes of Melodic Minor;4;Lydian Dominant;6;b;8;10;12;2;3;5;6;;G;A;B;Db;D;E;F;;maj;maj;dim;dim;min;min;aug;
213;9;G#;Modes of Melodic Minor;4;Lydian Dominant;7;;9;11;1;3;4;6;7;;G#;A#;C;D;D#;F;F#;;maj;maj;dim;dim;min;min;aug;
214;10;A;Modes of Melodic Minor;4;Lydian Dominant;8;;10;12;2;4;5;7;8;;A;B;C#;D#;E;F#;G;;maj;maj;dim;dim;min;min;aug;
215;11;Bb;Modes of Melodic Minor;4;Lydian Dominant;9;b;11;1;3;5;6;8;9;;Bb;C;D;E;F;G;Ab;;maj;maj;dim;dim;min;min;aug;
216;12;B;Modes of Melodic Minor;4;Lydian Dominant;10;;12;2;4;6;7;9;10;;B;C#;D#;F;F#;G#;A;;maj;maj;dim;dim;min;min;aug;
217;1;C;Modes of Melodic Minor;5;Aeolian Dominant;9;b;1;3;5;6;8;9;11;;C;D;E;F;G;Ab;Bb;;maj;dim;dim;min;min;aug;maj;
218;2;C#;Modes of Melodic Minor;5;Aeolian Dominant;10;;2;4;6;7;9;10;12;;C#;D#;F;F#;G#;A;B;;maj;dim;dim;min;min;aug;maj;
219;3;D;Modes of Melodic Minor;5;Aeolian Dominant;11;b;3;5;7;8;10;11;1;;D;E;Gb;G;A;Bb;C;;maj;dim;dim;min;min;aug;maj;
220;4;D#;Modes of Melodic Minor;5;Aeolian Dominant;12;;4;6;8;9;11;12;2;;D#;F;G;G#;A#;B;C#;;maj;dim;dim;min;min;aug;maj;
221;5;E;Modes of Melodic Minor;5;Aeolian Dominant;1;b;5;7;9;10;12;1;3;;E;Gb;Ab;A;B;C;D;;maj;dim;dim;min;min;aug;maj;
222;6;F;Modes of Melodic Minor;5;Aeolian Dominant;2;b;6;8;10;11;1;2;4;;F;G;A;Bb;C;Db;Eb;;maj;dim;dim;min;min;aug;maj;
223;7;F#;Modes of Melodic Minor;5;Aeolian Dominant;3;;7;9;11;12;2;3;5;;F#;G#;A#;B;C#;D;E;;maj;dim;dim;min;min;aug;maj;
224;8;G;Modes of Melodic Minor;5;Aeolian Dominant;4;b;8;10;12;1;3;4;6;;G;A;B;C;D;Eb;F;;maj;dim;dim;min;min;aug;maj;
225;9;G#;Modes of Melodic Minor;5;Aeolian Dominant;5;;9;11;1;2;4;5;7;;G#;A#;C;C#;D#;E;F#;;maj;dim;dim;min;min;aug;maj;
226;10;A;Modes of Melodic Minor;5;Aeolian Dominant;6;b;10;12;2;3;5;6;8;;A;B;Db;D;E;F;G;;maj;dim;dim;min;min;aug;maj;
227;11;A#;Modes of Melodic Minor;5;Aeolian Dominant;7;;11;1;3;4;6;7;9;;A#;C;D;D#;F;F#;G#;;maj;dim;dim;min;min;aug;maj;
228;12;B;Modes of Melodic Minor;5;Aeolian Dominant;8;;12;2;4;5;7;8;10;;B;C#;D#;E;F#;G;A;;maj;dim;dim;min;min;aug;maj;
229;1;C;Modes of Melodic Minor;6;Half Diminished;8;;1;3;4;6;7;9;11;;C;D;D#;F;F#;G#;A#;;dim;dim;min;min;aug;maj;maj;
230;2;Db;Modes of Melodic Minor;6;Half Diminished;9;b;2;4;5;7;8;10;12;;Db;Eb;E;Gb;G;A;B;;dim;dim;min;min;aug;maj;maj;
231;3;D;Modes of Melodic Minor;6;Half Diminished;10;;3;5;6;8;9;11;1;;D;E;F;G;G#;A#;C;;dim;dim;min;min;aug;maj;maj;
232;4;Eb;Modes of Melodic Minor;6;Half Diminished;11;b;4;6;7;9;10;12;2;;Eb;F;Gb;Ab;A;B;Db;;dim;dim;min;min;aug;maj;maj;
233;5;E;Modes of Melodic Minor;6;Half Diminished;12;;5;7;8;10;11;1;3;;E;F#;G;A;A#;C;D;;dim;dim;min;min;aug;maj;maj;
234;6;F;Modes of Melodic Minor;6;Half Diminished;1;b;6;8;9;11;12;2;4;;F;G;Ab;Bb;B;Db;Eb;;dim;dim;min;min;aug;maj;maj;
235;7;Gb;Modes of Melodic Minor;6;Half Diminished;2;b;7;9;10;12;1;3;5;;Gb;Ab;A;B;C;D;E;;dim;dim;min;min;aug;maj;maj;
236;8;G;Modes of Melodic Minor;6;Half Diminished;3;;8;10;11;1;2;4;6;;G;A;A#;C;C#;D#;F;;dim;dim;min;min;aug;maj;maj;
237;9;Ab;Modes of Melodic Minor;6;Half Diminished;4;b;9;11;12;2;3;5;7;;Ab;Bb;B;Db;D;E;Gb;;dim;dim;min;min;aug;maj;maj;
238;10;A;Modes of Melodic Minor;6;Half Diminished;5;;10;12;1;3;4;6;8;;A;B;C;D;D#;F;G;;dim;dim;min;min;aug;maj;maj;
239;11;Bb;Modes of Melodic Minor;6;Half Diminished;6;b;11;1;2;4;5;7;9;;Bb;C;Db;Eb;E;Gb;Ab;;dim;dim;min;min;aug;maj;maj;
240;12;B;Modes of Melodic Minor;6;Half Diminished;7;;12;2;3;5;6;8;10;;B;C#;D;E;F;G;A;;dim;dim;min;min;aug;maj;maj;
241;1;C;Modes of Melodic Minor;7;Altered Scale;2;b;1;2;4;5;7;9;11;;C;Db;Eb;E;Gb;Ab;Bb;;dim;min;min;aug;maj;maj;dim;
242;2;C#;Modes of Melodic Minor;7;Altered Scale;3;;2;3;5;6;8;10;12;;C#;D;E;F;G;A;B;;dim;min;min;aug;maj;maj;dim;
243;3;D;Modes of Melodic Minor;7;Altered Scale;4;b;3;4;6;7;9;11;1;;D;Eb;F;Gb;Ab;Bb;C;;dim;min;min;aug;maj;maj;dim;
244;4;D#;Modes of Melodic Minor;7;Altered Scale;5;;4;5;7;8;10;12;2;;D#;E;F#;G;A;B;C#;;dim;min;min;aug;maj;maj;dim;
245;5;E;Modes of Melodic Minor;7;Altered Scale;6;b;5;6;8;9;11;1;3;;E;F;G;Ab;Bb;C;D;;dim;min;min;aug;maj;maj;dim;
246;6;F;Modes of Melodic Minor;7;Altered Scale;7;;6;7;9;10;12;2;4;;F;F#;G#;A;B;C#;D#;;dim;min;min;aug;maj;maj;dim;
247;7;F#;Modes of Melodic Minor;7;Altered Scale;8;;7;8;10;11;1;3;5;;F#;G;A;A#;C;D;E;;dim;min;min;aug;maj;maj;dim;
248;8;G;Modes of Melodic Minor;7;Altered Scale;9;b;8;9;11;12;2;4;6;;G;Ab;Bb;B;Db;Eb;F;;dim;min;min;aug;maj;maj;dim;
249;9;G#;Modes of Melodic Minor;7;Altered Scale;10;;9;10;12;1;3;5;7;;G#;A;B;C;D;E;F#;;dim;min;min;aug;maj;maj;dim;
250;10;A;Modes of Melodic Minor;7;Altered Scale;11;b;10;11;1;2;4;6;8;;A;Bb;C;Db;Eb;F;G;;dim;min;min;aug;maj;maj;dim;
251;11;A#;Modes of Melodic Minor;7;Altered Scale;12;;11;12;2;3;5;7;9;;A#;B;C#;D;E;F#;G#;;dim;min;min;aug;maj;maj;dim;
252;12;B;Modes of Melodic Minor;7;Altered Scale;1;b;12;1;3;4;6;8;10;;B;C;D;Eb;F;G;A;;dim;min;min;aug;maj;maj;dim;
253;1;C;Modes of the Pentatonic Scale;1;Major Pentatonic;1;b;1;3;5;8;10;;;;C;D;E;G;A;;;;;;;;;;;
254;2;Db;Modes of the Pentatonic Scale;1;Major Pentatonic;2;b;2;4;6;9;11;;;;Db;Eb;F;Ab;Bb;;;;;;;;;;;
255;3;D;Modes of the Pentatonic Scale;1;Major Pentatonic;3;;3;5;7;10;12;;;;D;E;F#;A;B;;;;;;;;;;;
256;4;Eb;Modes of the Pentatonic Scale;1;Major Pentatonic;4;b;4;6;8;11;1;;;;Eb;F;G;Bb;C;;;;;;;;;;;
257;5;E;Modes of the Pentatonic Scale;1;Major Pentatonic;5;;5;7;9;12;2;;;;E;F#;G#;B;C#;;;;;;;;;;;
258;6;F;Modes of the Pentatonic Scale;1;Major Pentatonic;6;b;6;8;10;1;3;;;;F;G;A;C;D;;;;;;;;;;;
259;7;F#;Modes of the Pentatonic Scale;1;Major Pentatonic;7;;7;9;11;2;4;;;;F#;G#;A#;C#;D#;;;;;;;;;;;
260;8;G;Modes of the Pentatonic Scale;1;Major Pentatonic;8;;8;10;12;3;5;;;;G;A;B;D;E;;;;;;;;;;;
261;9;Ab;Modes of the Pentatonic Scale;1;Major Pentatonic;9;b;9;11;1;4;6;;;;Ab;Bb;C;Eb;F;;;;;;;;;;;
262;10;A;Modes of the Pentatonic Scale;1;Major Pentatonic;10;;10;12;2;5;7;;;;A;B;C#;E;F#;;;;;;;;;;;
263;11;Bb;Modes of the Pentatonic Scale;1;Major Pentatonic;11;b;11;1;3;6;8;;;;Bb;C;D;F;G;;;;;;;;;;;
264;12;B;Modes of the Pentatonic Scale;1;Major Pentatonic;12;;12;2;4;7;9;;;;B;C#;D#;F#;G#;;;;;;;;;;;
265;1;C;Modes of the Pentatonic Scale;2;Suspended Pentatonic;11;b;1;3;6;8;11;;;;C;D;F;G;Bb;;;;;;;;;;;
266;2;C#;Modes of the Pentatonic Scale;2;Suspended Pentatonic;12;;2;4;7;9;12;;;;C#;D#;F#;G#;B;;;;;;;;;;;
267;3;D;Modes of the Pentatonic Scale;2;Suspended Pentatonic;1;b;3;5;8;10;1;;;;D;E;G;A;C;;;;;;;;;;;
268;4;Eb;Modes of the Pentatonic Scale;2;Suspended Pentatonic;2;b;4;6;9;11;2;;;;Eb;F;Ab;Bb;Db;;;;;;;;;;;
269;5;E;Modes of the Pentatonic Scale;2;Suspended Pentatonic;3;;5;7;10;12;3;;;;E;F#;A;B;D;;;;;;;;;;;
270;6;F;Modes of the Pentatonic Scale;2;Suspended Pentatonic;4;b;6;8;11;1;4;;;;F;G;Bb;C;Eb;;;;;;;;;;;
271;7;F#;Modes of the Pentatonic Scale;2;Suspended Pentatonic;5;;7;9;12;2;5;;;;F#;G#;B;C#;E;;;;;;;;;;;
272;8;G;Modes of the Pentatonic Scale;2;Suspended Pentatonic;6;b;8;10;1;3;6;;;;G;A;C;D;F;;;;;;;;;;;
273;9;G#;Modes of the Pentatonic Scale;2;Suspended Pentatonic;7;;9;11;2;4;7;;;;G#;A#;C#;D#;F#;;;;;;;;;;;
274;10;A;Modes of the Pentatonic Scale;2;Suspended Pentatonic;8;;10;12;3;5;8;;;;A;B;D;E;G;;;;;;;;;;;
275;11;Bb;Modes of the Pentatonic Scale;2;Suspended Pentatonic;9;b;11;1;4;6;9;;;;Bb;C;Eb;F;Ab;;;;;;;;;;;
276;12;B;Modes of the Pentatonic Scale;2;Suspended Pentatonic;10;;12;2;5;7;10;;;;B;C#;E;F#;A;;;;;;;;;;;
277;1;C;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;9;b;1;4;6;9;11;;;;C;Eb;F;Ab;Bb;;;;;;;;;;;
278;2;C#;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;10;;2;5;7;10;12;;;;C#;E;F#;A;B;;;;;;;;;;;
279;3;D;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;11;b;3;6;8;11;1;;;;D;F;G;Bb;C;;;;;;;;;;;
280;4;D#;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;12;;4;7;9;12;2;;;;D#;F#;G#;B;C#;;;;;;;;;;;
281;5;E;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;1;b;5;8;10;1;3;;;;E;G;A;C;D;;;;;;;;;;;
282;6;F;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;2;b;6;9;11;2;4;;;;F;Ab;Bb;Db;Eb;;;;;;;;;;;
283;7;F#;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;3;;7;10;12;3;5;;;;F#;A;B;D;E;;;;;;;;;;;
284;8;G;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;4;b;8;11;1;4;6;;;;G;Bb;C;Eb;F;;;;;;;;;;;
285;9;G#;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;5;;9;12;2;5;7;;;;G#;B;C#;E;F#;;;;;;;;;;;
286;10;A;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;6;b;10;1;3;6;8;;;;A;C;D;F;G;;;;;;;;;;;
287;11;A#;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;7;;11;2;4;7;9;;;;A#;C#;D#;F#;G#;;;;;;;;;;;
288;12;B;Modes of the Pentatonic Scale;3;Pentatonic Blues Minor;8;;12;3;5;8;10;;;;B;D;E;G;A;;;;;;;;;;;
289;1;C;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;6;b;1;3;6;8;10;;;;C;D;F;G;A;;;;;;;;;;;
290;2;C#;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;7;;2;4;7;9;11;;;;C#;D#;F#;G#;A#;;;;;;;;;;;
291;3;D;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;8;;3;5;8;10;12;;;;D;E;G;A;B;;;;;;;;;;;
292;4;Eb;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;9;b;4;6;9;11;1;;;;Eb;F;Ab;Bb;C;;;;;;;;;;;
293;5;E;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;10;;5;7;10;12;2;;;;E;F#;A;B;C#;;;;;;;;;;;
294;6;F;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;11;b;6;8;11;1;3;;;;F;G;Bb;C;D;;;;;;;;;;;
295;7;F#;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;12;;7;9;12;2;4;;;;F#;G#;B;C#;D#;;;;;;;;;;;
296;8;G;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;1;b;8;10;1;3;5;;;;G;A;C;D;E;;;;;;;;;;;
297;9;Ab;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;2;b;9;11;2;4;6;;;;Ab;Bb;Db;Eb;F;;;;;;;;;;;
298;10;A;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;3;;10;12;3;5;7;;;;A;B;D;E;F#;;;;;;;;;;;
299;11;Bb;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;4;b;11;1;4;6;8;;;;Bb;C;Eb;F;G;;;;;;;;;;;
300;12;B;Modes of the Pentatonic Scale;4;Pentatonic Blues Major;5;;12;2;5;7;9;;;;B;C#;E;F#;G#;;;;;;;;;;;
301;1;C;Modes of the Pentatonic Scale;5;Minor Pentatonic;4;b;1;4;6;8;11;;;;C;Eb;F;G;Bb;;;;;;;;;;;
302;2;C#;Modes of the Pentatonic Scale;5;Minor Pentatonic;5;;2;5;7;9;12;;;;C#;E;F#;G#;B;;;;;;;;;;;
303;3;D;Modes of the Pentatonic Scale;5;Minor Pentatonic;6;b;3;6;8;10;1;;;;D;F;G;A;C;;;;;;;;;;;
304;4;D#;Modes of the Pentatonic Scale;5;Minor Pentatonic;7;;4;7;9;11;2;;;;D#;F#;G#;A#;C#;;;;;;;;;;;
305;5;E;Modes of the Pentatonic Scale;5;Minor Pentatonic;8;;5;8;10;12;3;;;;E;G;A;B;D;;;;;;;;;;;
306;6;F;Modes of the Pentatonic Scale;5;Minor Pentatonic;9;b;6;9;11;1;4;;;;F;Ab;Bb;C;Eb;;;;;;;;;;;
307;7;F#;Modes of the Pentatonic Scale;5;Minor Pentatonic;10;;7;10;12;2;5;;;;F#;A;B;C#;E;;;;;;;;;;;
308;8;G;Modes of the Pentatonic Scale;5;Minor Pentatonic;11;b;8;11;1;3;6;;;;G;Bb;C;D;F;;;;;;;;;;;
309;9;G#;Modes of the Pentatonic Scale;5;Minor Pentatonic;12;;9;12;2;4;7;;;;G#;B;C#;D#;F#;;;;;;;;;;;
310;10;A;Modes of the Pentatonic Scale;5;Minor Pentatonic;1;b;10;1;3;5;8;;;;A;C;D;E;G;;;;;;;;;;;
311;11;Bb;Modes of the Pentatonic Scale;5;Minor Pentatonic;2;b;11;2;4;6;9;;;;Bb;Db;Eb;F;Ab;;;;;;;;;;;
312;12;B;Modes of the Pentatonic Scale;5;Minor Pentatonic;3;;12;3;5;7;10;;;;B;D;E;F#;A;;;;;;;;;;;
313;1;C;Hexatonic Scales;1;Augmented Scale;1;b;1;4;5;8;9;12;;;C;Eb;E;G;Ab;B;;;aug;aug;aug;aug;aug;aug;;
314;2;Db;Hexatonic Scales;1;Augmented Scale;2;b;2;5;6;9;10;1;;;Db;E;F;Ab;A;C;;;aug;aug;aug;aug;aug;aug;;
315;3;D;Hexatonic Scales;1;Augmented Scale;3;;3;6;7;10;11;2;;;D;F;F#;A;A#;C#;;;aug;aug;aug;aug;aug;aug;;
316;4;Eb;Hexatonic Scales;1;Augmented Scale;4;b;4;7;8;11;12;3;;;Eb;Gb;G;Bb;B;D;;;aug;aug;aug;aug;aug;aug;;
317;5;E;Hexatonic Scales;1;Augmented Scale;5;;5;8;9;12;1;4;;;E;G;G#;B;C;D#;;;aug;aug;aug;aug;aug;aug;;
318;6;F;Hexatonic Scales;1;Augmented Scale;6;b;6;9;10;1;2;5;;;F;Ab;A;C;Db;E;;;aug;aug;aug;aug;aug;aug;;
319;7;F#;Hexatonic Scales;1;Augmented Scale;7;;7;10;11;2;3;6;;;F#;A;A#;C#;D;F;;;aug;aug;aug;aug;aug;aug;;
320;8;G;Hexatonic Scales;1;Augmented Scale;8;;8;11;12;3;4;7;;;G;A#;B;D;D#;F#;;;aug;aug;aug;aug;aug;aug;;
321;9;Ab;Hexatonic Scales;1;Augmented Scale;9;b;9;12;1;4;5;8;;;Ab;B;C;Eb;E;G;;;aug;aug;aug;aug;aug;aug;;
322;10;A;Hexatonic Scales;1;Augmented Scale;10;;10;1;2;5;6;9;;;A;C;C#;E;F;G#;;;aug;aug;aug;aug;aug;aug;;
323;11;Bb;Hexatonic Scales;1;Augmented Scale;11;b;11;2;3;6;7;10;;;Bb;Db;D;F;Gb;A;;;aug;aug;aug;aug;aug;aug;;
324;12;B;Hexatonic Scales;1;Augmented Scale;12;;12;3;4;7;8;11;;;B;D;D#;F#;G;A#;;;aug;aug;aug;aug;aug;aug;;
325;1;C;Hexatonic Scales;2;Whole-Tone Scale;1;b;1;3;5;7;9;11;;;C;D;E;Gb;Ab;Bb;;;aug;aug;aug;aug;aug;aug;;
326;2;Db;Hexatonic Scales;2;Whole-Tone Scale;2;b;2;4;6;8;10;12;;;Db;Eb;F;G;A;B;;;aug;aug;aug;aug;aug;aug;;
327;3;D;Hexatonic Scales;2;Whole-Tone Scale;3;;3;5;7;9;11;1;;;D;E;F#;G#;A#;C;;;aug;aug;aug;aug;aug;aug;;
328;4;Eb;Hexatonic Scales;2;Whole-Tone Scale;4;b;4;6;8;10;12;2;;;Eb;F;G;A;B;Db;;;aug;aug;aug;aug;aug;aug;;
329;5;E;Hexatonic Scales;2;Whole-Tone Scale;5;;5;7;9;11;1;3;;;E;F#;G#;A#;C;D;;;aug;aug;aug;aug;aug;aug;;
330;6;F;Hexatonic Scales;2;Whole-Tone Scale;6;b;6;8;10;12;2;4;;;F;G;A;B;Db;Eb;;;aug;aug;aug;aug;aug;aug;;
331;7;F#;Hexatonic Scales;2;Whole-Tone Scale;7;;7;9;11;1;3;5;;;F#;G#;A#;C;D;E;;;aug;aug;aug;aug;aug;aug;;
332;8;G;Hexatonic Scales;2;Whole-Tone Scale;8;;8;10;12;2;4;6;;;G;A;B;C#;D#;F;;;aug;aug;aug;aug;aug;aug;;
